compound,compound noun,compound noun_tag,original sentence,original sentence_tag,entire original sentence,entire original sentence_tag,original head only,original head only_tag,original modifier only,original modifier only_tag,generic modifier,generic modifier_tag,generic head,generic head_tag,synonym modifier,synonym modifier_tag,synonym head,synonym head_tag,synonym both,synonym both_tag,synonym for compound,synonym for compound_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand sentence5,nc rand sentence5_tag
abalo sísmico,abalos sísmicos,"[True, True]",São incomuns em Goiana os grandes abalos sísmicos ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes abalos sísmicos ou terremotos .,"[True, True, True, True, True, True, True, True, True, True, True]",São incomuns em Goiana os grandes abalos ou terremotos .,"[False, False, False, False, False, False, True, False, False, False]",São incomuns em Goiana os grandes sísmicos ou terremotos .,"[False, False, False, False, False, False, True, False, False, False]",São incomuns em Goiana os grandes abalos normais ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes coisos sísmicos ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes abalos enérgicos ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana as grandes trepidações sísmicas ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana as grandes trepidações enérgicas ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes tremores de terra ou terremotos .,"[False, False, False, False, False, False, True, True, True, False, False, False]",São incomuns em Goiana os grandes índios aculturados ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes novos-ricos ou terremotos .,"[False, False, False, False, False, False, True, False, False, False]",São incomuns em Goiana os grandes cruzadores auxiliares ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes buracos negros ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes preceitos rígidos ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes exames laboratoriais ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes autarcas centristas ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes navios negreiros ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes bombardeamentos intensos ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]",São incomuns em Goiana os grandes direitos humanos ou terremotos .,"[False, False, False, False, False, False, True, True, False, False, False]"
acampamento militar,acampamentos militares,"[True, True]",Pelos quartéis e pelos acampamentos militares onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos acampamentos militares onde se decidiam as estratégias ;,"[True, True, True, True, True, True, True, True, True, True, True, True]",Pelos quartéis e pelos acampamentos onde se decidiam as estratégias ;,"[False, False, False, False, True, False, False, False, False, False, False]",Pelos quartéis e pelos militares onde se decidiam as estratégias ;,"[False, False, False, False, True, False, False, False, False, False, False]",Pelos quartéis e pelos acampamentos normais onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos coisos militares onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos acampamentos bélicos onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos campings militares onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos campings bélicos onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos acampamentos do exército onde se decidiam as estratégias ;,"[False, False, False, False, True, True, True, False, False, False, False, False, False]",Pelos quartéis e pela situação líquida onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos efeitos especiais onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pela coisa óbvia onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos pontos fortes onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos peixes diversos onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos salões paroquiais onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos estudos nacionais onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos golpes baixos onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos terríveis problemas onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]",Pelos quartéis e pelos pontos cegos onde se decidiam as estratégias ;,"[False, False, False, False, True, True, False, False, False, False, False, False]"
agente secreto,agente secreto,"[True, True]",Existe mesmo no serviço secreto inglês um agente secreto com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um agente secreto com licença para matar !,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True]",Existe mesmo no serviço secreto inglês um agente com licença para matar !,"[False, False, False, False, False, False, False, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um secreto com licença para matar !,"[False, False, False, False, False, False, False, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um agente normal com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um coiso secreto com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um agente oculto com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um agenciador secreto com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um agenciador oculto com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um espião com licença para matar !,"[False, False, False, False, False, False, False, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês umas diferenças técnicas com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um primeiro ministro com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um tipo societário com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um cheiro-verde com licença para matar !,"[False, False, False, False, False, False, False, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês umas ligas europeias com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um pavio curto com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um formato mínimo com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um olho nu com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um menisco interno com licença para matar !,"[False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Existe mesmo no serviço secreto inglês um ano-novo com licença para matar !,"[False, False, False, False, False, False, False, True, False, False, False, False, False]"
água doce,água doce,"[True, True]",O Brasil conta com grandes reservas de água doce .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de água doce .,"[True, True, True, True, True, True, True, True, True, True]",O Brasil conta com grandes reservas de água .,"[False, False, False, False, False, False, False, True, False]",O Brasil conta com grandes reservas de doce .,"[False, False, False, False, False, False, False, True, False]",O Brasil conta com grandes reservas de água normal .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de coisa doce .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de água açucarada .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de fluido doce .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de fluido açucarado .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de água potável .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de forte espanhol .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de primeira infância .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de diversas confissões .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de saia justa .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de importante arquivo .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de terceira pessoa .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de próximo nascimento .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de alta-costura .,"[False, False, False, False, False, False, False, True, False]",O Brasil conta com grandes reservas de diversas seções .,"[False, False, False, False, False, False, False, True, True, False]",O Brasil conta com grandes reservas de ficha limpa .,"[False, False, False, False, False, False, False, True, True, False]"
água mineral,água mineral,"[True, True]",Só beba água mineral lacrada .,"[False, False, True, True, False, False]",Só beba água mineral lacrada .,"[True, True, True, True, True, True]",Só beba água lacrada .,"[False, False, True, False, False]",Só beba mineral lacrada .,"[False, False, True, False, False]",Só beba água normal lacrada .,"[False, False, True, True, False, False]",Só beba coisa mineral lacrada .,"[False, False, True, True, False, False]",Só beba água inorgânica lacrada .,"[False, False, True, True, False, False]",Só beba fluido mineral lacrado .,"[False, False, True, True, False, False]",Só beba fluido inorgânico lacrado .,"[False, False, True, True, False, False]",Só beba água lacrada .,"[False, False, True, False, False]",Só beba imenso estilo lacrada .,"[False, False, True, True, False, False]",Só beba pente fino lacrada .,"[False, False, True, True, False, False]",Só beba estádios próprios lacrados .,"[False, False, True, True, False, False]",Só beba tartaruga-marinha lacrada .,"[False, False, True, False, False]",Só beba pintura inicial lacrada .,"[False, False, True, True, False, False]",Só beba força bruta lacrada .,"[False, False, True, True, False, False]",Só beba série rápida lacrada .,"[False, False, True, True, False, False]",Só beba mesa-redonda lacrada .,"[False, False, True, False, False]",Só beba velha obra lacrada .,"[False, False, True, True, False, False]",Só beba sétima arte lacrada .,"[False, False, True, True, False, False]"
alarme falso,alarme falso,"[True, True]","Felizmente , tudo não passou de um alarme falso .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um alarme falso .","[True, True, True, True, True, True, True, True, True, True]","Felizmente , tudo não passou de um alarme .","[False, False, False, False, False, False, False, True, False]","Felizmente , tudo não passou de um falso .","[False, False, False, False, False, False, False, True, False]","Felizmente , tudo não passou de um alarme normal .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um coiso falso .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um alarme fingido .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um aviso falso .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um aviso fingido .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um engano .","[False, False, False, False, False, False, False, True, False]","Felizmente , tudo não passou de uma nacionalidade croata .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um Pé-frio .","[False, False, False, False, False, False, False, True, False]","Felizmente , tudo não passou de uns alunos carentes .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um alto-falante .","[False, False, False, False, False, False, False, True, False]","Felizmente , tudo não passou de uma grelha provisória .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um olho gordo .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de umas múltiplas frentes .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um relógio biológico .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um caro irmão .","[False, False, False, False, False, False, False, True, True, False]","Felizmente , tudo não passou de um sangue azul .","[False, False, False, False, False, False, False, True, True, False]"
algodão-doce,algodão-doce,[True],"Tem pipoca , estalinho , algodão-doce , sorvete","[False, False, False, False, False, True, False, False]","Tem pipoca , estalinho , algodão-doce , sorvete","[True, True, True, True, True, True, True, True]","Tem pipoca , estalinho , algodão , sorvete","[False, False, False, False, False, True, False, False]","Tem pipoca , estalinho , doce , sorvete","[False, False, False, False, False, True, False, False]","Tem pipoca , estalinho , algodão normal , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , coiso doce , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , algodão açucarado , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , algodoeiro doce , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , algodoeiro açucarado , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , doce , sorvete","[False, False, False, False, False, True, False, False]","Tem pipoca , estalinho , piores crises , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , sangue frio , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , supremo comandante , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , peso morto , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , personalidade romântica , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , curto-circuito , sorvete","[False, False, False, False, False, True, False, False]","Tem pipoca , estalinho , representação esquemática , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , voto secreto , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , tarefa enfadonha , sorvete","[False, False, False, False, False, True, True, False, False]","Tem pipoca , estalinho , Processo seletivo , sorvete","[False, False, False, False, False, True, True, False, False]"
alta temporada,alta temporada,"[True, True]",Na alta temporada ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na alta temporada ( dezembro - fevereiro ) evite usar carro .,"[True, True, True, True, True, True, True, True, True, True, True, True]",Na alta ( dezembro - fevereiro ) evite usar carro .,"[False, True, False, False, False, False, False, False, False, False, False]",Na temporada ( dezembro - fevereiro ) evite usar carro .,"[False, True, False, False, False, False, False, False, False, False, False]",Na temporada normal ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na alta coisa ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na época alta ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na temporada elevada ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na época elevada ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na época de férias ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, True, False, False, False, False, False, False, False, False, False]",Nos maiores congressos ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na lista negra ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Nos seguintes estados ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na caixa-preta ( dezembro - fevereiro ) evite usar carro .,"[False, True, False, False, False, False, False, False, False, False, False]",No nome moderno ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na alta-costura ( dezembro - fevereiro ) evite usar carro .,"[False, True, False, False, False, False, False, False, False, False, False]",Nas maiores indemnizações ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na primeira infância ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na noite quente ( dezembro - fevereiro ) evite usar carro .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Na tartaruga-marinha ( dezembro - fevereiro ) evite usar carro .,"[False, True, False, False, False, False, False, False, False, False, False]"
alta-costura,alta-costura,[True],"Em vez de tênis de baixa qualidade , vamos fazer tênis de alta-costura .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de alta-costura .","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","Em vez de tênis de baixa qualidade , vamos fazer tênis de alta .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de costura .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de costura normal .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de alta coisa .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de alta sutura .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de costura elevada .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de sutura elevada .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de alta qualidade .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de serviços multimedia .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de tartaruga-marinha .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de menor investimento .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de cerca viva .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de recursos especulativos .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de água mineral .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de serviços encarregues .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de força bruta .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de bolo real .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Em vez de tênis de baixa qualidade , vamos fazer tênis de mesa-redonda .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]"
alto mar,alto mar,"[True, True]",Eles pescavam e congelavam os peixes em alto mar .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em alto mar .,"[True, True, True, True, True, True, True, True, True, True]",Eles pescavam e congelavam os peixes em alto .,"[False, False, False, False, False, False, False, True, False]",Eles pescavam e congelavam os peixes em mar .,"[False, False, False, False, False, False, False, True, False]",Eles pescavam e congelavam os peixes em mar normal .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em alto coiso .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em oceano alto .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em mar elevado .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em oceano elevado .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em mar aberto .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em pequenos números .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em amor-próprio .,"[False, False, False, False, False, False, False, True, False]",Eles pescavam e congelavam os peixes em população trans .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em mau-olhado .,"[False, False, False, False, False, False, False, True, False]",Eles pescavam e congelavam os peixes em energia dominante .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em Pé-frio .,"[False, False, False, False, False, False, False, True, False]",Eles pescavam e congelavam os peixes em resultados físicos .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em pé quente .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em relações tributárias .,"[False, False, False, False, False, False, False, True, True, False]",Eles pescavam e congelavam os peixes em sistema político .,"[False, False, False, False, False, False, False, True, True, False]"
