compound,compound noun,compound noun_tag,neutral sentence,original sentence_tag,neutral sentence plural,neutral sentence plural_tag,entire neutral sentence,entire neutral sentence_tag,original modifier only,original modifier only_tag,original head only,original head only_tag,head only plural,head only plural_tag,modifier hypernym,modifier hypernym_tag,head hypernym,head hypernym_tag,synonym for compound,synonym for compound_tag,mwe synonym plural,mwe synonym plural_tag,modifier synonym,modifier synonym_tag,head synonym,head synonym_tag,head synonym plural,head synonym plural_tag,synonym both,synonym both_tag,both synonyms plural,both synonyms plural_tag,only mwe synonym,only mwe synonym_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand sentence5,nc rand sentence5_tag,compound noun head,compound noun head_tag,compound noun modifier,compound noun modifier_tag,only both synonyms,only both synonyms_tag
abalo sísmico,abalo sísmico,"[True, True]",Este é um abalo sísmico .,"[False, False, False, True, True, False]",Estes são abalos sísmicos .,"[False, False, True, True, False]",Este é um abalo sísmico . ,"[True, True, True, True, True, True]",Este é um sísmico .,"[False, False, False, True, False]",Este é um abalo .,"[False, False, False, True, False]",Estes são abalos .,"[False, False, True, False]",Este é um abalo normal .,"[False, False, False, True, True, False]",Este é um coiso sísmico .,"[False, False, False, True, True, False]",Este é um tremor de terra .,"[False, False, False, True, True, True, False]",Estes são tremores de terra .,"[False, False, True, True, True, False]",Este é um abalo enérgico .,"[False, False, False, True, True, False]",Esta é uma trepidação sísmica .,"[False, False, False, True, True, False]",Estas são trepidações sísmicas .,"[False, False, True, True, False]",Esta é uma trepidação enérgica .,"[False, False, False, True, True, False]",Estas são trepidações enérgicas .,"[False, False, True, True, False]",tremor de terra,"[True, True, True]",Estes são índios aculturados .,"[False, False, True, True, False]",Estes são cruzadores auxiliares .,"[False, False, True, True, False]",Estes são discos voadores .,"[False, False, True, True, False]",Estes são preceitos rígidos .,"[False, False, True, True, False]",Estes são desfiles militares .,"[False, False, True, True, False]",Estes são bombardeamentos intensos .,"[False, False, True, True, False]",Estes são pontos fortes .,"[False, False, True, True, False]",Estes são autarcas centristas .,"[False, False, True, True, False]",Estes são navios negreiros .,"[False, False, True, True, False]",Estes são vôos domésticos .,"[False, False, True, True, False]",abalo,[True],sísmico,[True],trepidação enérgica,"[True, True]"
acampamento militar,acampamento militar,"[True, True]",Este é um acampamento militar .,"[False, False, False, True, True, False]",Estes são acampamentos militares .,"[False, False, True, True, False]",Este é um acampamento militar . ,"[True, True, True, True, True, True]",Este é um militar .,"[False, False, False, True, False]",Este é um acampamento .,"[False, False, False, True, False]",Estes são acampamentos .,"[False, False, True, False]",Este é um acampamento normal .,"[False, False, False, True, True, False]",Este é um coiso militar .,"[False, False, False, True, True, False]",Este é um acampamento do exército .,"[False, False, False, True, True, True, False]",Estes são acampamentos do exército .,"[False, False, True, True, True, False]",Este é um acampamento bélico .,"[False, False, False, True, True, False]",Este é um camping militar .,"[False, False, False, True, True, False]",Estes são campings militares .,"[False, False, True, True, False]",Este é um camping bélico .,"[False, False, False, True, True, False]",Estes são campings bélicos .,"[False, False, True, True, False]",acampamento do exército,"[True, True, True]",Estes são terríveis problemas .,"[False, False, True, True, False]",Estes são diversos terminais .,"[False, False, True, True, False]",Estes são salões paroquiais .,"[False, False, True, True, False]",Estes são peixes diversos .,"[False, False, True, True, False]",Estes são discos voadores .,"[False, False, True, True, False]",Estes são estudos nacionais .,"[False, False, True, True, False]",Estes são efeitos especiais .,"[False, False, True, True, False]",Estes são cenários diversos .,"[False, False, True, True, False]",Estes são elefantes brancos .,"[False, False, True, True, False]",Estes são atos falhos .,"[False, False, True, True, False]",acampamento,[True],militar,[True],camping bélico,"[True, True]"
agente secreto,agente secreto,"[True, True]",Este é um agente secreto .,"[False, False, False, True, True, False]",Estes são agentes secretos .,"[False, False, True, True, False]",Este é um agente secreto . ,"[True, True, True, True, True, True]",Este é um secreto .,"[False, False, False, True, False]",Este é um agente .,"[False, False, False, True, False]",Estes são agentes .,"[False, False, True, False]",Este é um agente normal .,"[False, False, False, True, True, False]",Este é um coiso secreto .,"[False, False, False, True, True, False]",Este é um espião .,"[False, False, False, True, False]",Estes são espiões .,"[False, False, True, False]",Este é um agente oculto .,"[False, False, False, True, True, False]",Este é um agenciador secreto .,"[False, False, False, True, True, False]",Estes são agenciadores secretos .,"[False, False, True, True, False]",Este é um agenciador oculto .,"[False, False, False, True, True, False]",Estes são agenciadores ocultos .,"[False, False, True, True, False]",espião,[True],Este é um modem interno .,"[False, False, False, True, True, False]",Este é um tipo societário .,"[False, False, False, True, True, False]",Este é um sangue azul .,"[False, False, False, True, True, False]",Este é um formato mínimo .,"[False, False, False, True, True, False]",Este é um colégio militar .,"[False, False, False, True, True, False]",Este é um menisco interno .,"[False, False, False, True, True, False]",Este é um carro-forte .,"[False, False, False, True, False]",Este é um caminho reto .,"[False, False, False, True, True, False]",Este é um regime político .,"[False, False, False, True, True, False]",Este é um sistema político .,"[False, False, False, True, True, False]",agente,[True],secreto,[True],agenciador oculto,"[True, True]"
água doce,água doce,"[True, True]",Esta é uma água doce .,"[False, False, False, True, True, False]",Estas são águas doces .,"[False, False, True, True, False]",Esta é uma água doce . ,"[True, True, True, True, True, True]",Esta é uma doce .,"[False, False, False, True, False]",Esta é uma água .,"[False, False, False, True, False]",Estas são águas .,"[False, False, True, False]",Esta é uma água normal .,"[False, False, False, True, True, False]",Esta é uma coisa doce .,"[False, False, False, True, True, False]",Esta é uma água potável .,"[False, False, False, True, True, False]",Estas são águas potáveis .,"[False, False, True, True, False]",Esta é uma água açucarada .,"[False, False, False, True, True, False]",Este é um fluido doce .,"[False, False, False, True, True, False]",Estes são fluidos doces .,"[False, False, True, True, False]",Este é um fluido açucarado .,"[False, False, False, True, True, False]",Estes são fluidos açucarados .,"[False, False, True, True, False]",água potável,"[True, True]",Esta é uma via comum .,"[False, False, False, True, True, False]",Esta é uma importante convenção .,"[False, False, False, True, True, False]",Esta é uma magia negra .,"[False, False, False, True, True, False]",Esta é uma matéria anterior .,"[False, False, False, True, True, False]",Esta é uma comida caseira .,"[False, False, False, True, True, False]",Esta é uma pergunta anterior .,"[False, False, False, True, True, False]",Esta é uma vista grossa .,"[False, False, False, True, True, False]",Esta é uma parceria oficial .,"[False, False, False, True, True, False]",Esta é uma primeira-dama .,"[False, False, False, True, False]",Esta é uma primeira mão .,"[False, False, False, True, True, False]",água,[True],doce,[True],fluido açucarado,"[True, True]"
água mineral,água mineral,"[True, True]",Esta é uma água mineral .,"[False, False, False, True, True, False]",Estas são águas minerais .,"[False, False, True, True, False]",Esta é uma água mineral . ,"[True, True, True, True, True, True]",Esta é uma mineral .,"[False, False, False, True, False]",Esta é uma água .,"[False, False, False, True, False]",Estas são águas .,"[False, False, True, False]",Esta é uma água normal .,"[False, False, False, True, True, False]",Esta é uma coisa mineral .,"[False, False, False, True, True, False]",Esta é uma água .,"[False, False, False, True, False]",Estas são águas .,"[False, False, True, False]",Esta é uma água inorgânica .,"[False, False, False, True, True, False]",Este é um fluido mineral .,"[False, False, False, True, True, False]",Estes são fluidos minerais .,"[False, False, True, True, False]",Este é um fluido inorgânico .,"[False, False, False, True, True, False]",Estes são fluidos inorgânicos .,"[False, False, True, True, False]",água,[True],Esta é uma cultura erudita .,"[False, False, False, True, True, False]",Esta é uma pintura inicial .,"[False, False, False, True, True, False]",Esta é uma terceira idade .,"[False, False, False, True, True, False]",Esta é uma série rápida .,"[False, False, False, True, True, False]",Esta é uma cerca viva .,"[False, False, False, True, True, False]",Esta é uma velha obra .,"[False, False, False, True, True, False]",Esta é uma febre amarela .,"[False, False, False, True, True, False]",Esta é uma eliminatória simples .,"[False, False, False, True, True, False]",Esta é uma roda gigante .,"[False, False, False, True, True, False]",Esta é uma sangue quente .,"[False, False, False, True, True, False]",água,[True],mineral,[True],fluido inorgânico,"[True, True]"
alarme falso,alarme falso,"[True, True]",Este é um alarme falso .,"[False, False, False, True, True, False]",Estes são alarmes falsos .,"[False, False, True, True, False]",Este é um alarme falso . ,"[True, True, True, True, True, True]",Este é um falso .,"[False, False, False, True, False]",Este é um alarme .,"[False, False, False, True, False]",Estes são alarmes .,"[False, False, True, False]",Este é um alarme normal .,"[False, False, False, True, True, False]",Este é um coiso falso .,"[False, False, False, True, True, False]",Este é um engano .,"[False, False, False, True, False]",Estes são enganos .,"[False, False, True, False]",Este é um alarme fingido .,"[False, False, False, True, True, False]",Este é um aviso falso .,"[False, False, False, True, True, False]",Estes são avisos falsos .,"[False, False, True, True, False]",Este é um aviso fingido .,"[False, False, False, True, True, False]",Estes são avisos fingidos .,"[False, False, True, True, False]",engano,[True],Este é um terreno instável .,"[False, False, False, True, True, False]",Este é um caro irmão .,"[False, False, False, True, True, False]",Este é um livre-docente .,"[False, False, False, True, False]",Este é um revolucionário irlandês .,"[False, False, False, True, True, False]",Este é um amor-próprio .,"[False, False, False, True, False]",Este é um detonador secundário .,"[False, False, False, True, True, False]",Este é um sexto sentido .,"[False, False, False, True, True, False]",Este é um benefício clínico .,"[False, False, False, True, True, False]",Este é um olho nu .,"[False, False, False, True, True, False]",Este é um vinho tinto .,"[False, False, False, True, True, False]",alarme,[True],falso,[True],aviso fingido,"[True, True]"
algodão-doce,algodão-doce,[True],Este é um algodão-doce .,"[False, False, False, True, False]",Estes são algodões-doces .,"[False, False, True, False]",Este é um algodão-doce . ,"[True, True, True, True, True]",Este é um doce .,"[False, False, False, True, False]",Este é um algodão .,"[False, False, False, True, False]",Estes são algodãos .,"[False, False, True, False]",Este é um algodão normal .,"[False, False, False, True, True, False]",Este é um coiso doce .,"[False, False, False, True, True, False]",Este é um doce .,"[False, False, False, True, False]",Estes são doces .,"[False, False, True, False]",Este é um algodão açucarado .,"[False, False, False, True, True, False]",Este é um algodoeiro doce .,"[False, False, False, True, True, False]",Estes são algodoeiros doces .,"[False, False, True, True, False]",Este é um algodoeiro açucarado .,"[False, False, False, True, True, False]",Estes são algodoeiros açucarados .,"[False, False, True, True, False]",doce,[True],Este é um bloco asiático .,"[False, False, False, True, True, False]",Este é um supremo comandante .,"[False, False, False, True, True, False]",Este é um peso morto .,"[False, False, False, True, True, False]",Este é um destino lógico .,"[False, False, False, True, True, False]",Este é um sexto sentido .,"[False, False, False, True, True, False]",Este é um continente submerso .,"[False, False, False, True, True, False]",Este é um jogo duro .,"[False, False, False, True, True, False]",Este é um comandante rebelde .,"[False, False, False, True, True, False]",Este é um braço direito .,"[False, False, False, True, True, False]",Este é um ar livre .,"[False, False, False, True, True, False]",algodão,[True],doce,[True],algodoeiro açucarado,"[True, True]"
alta temporada,alta temporada,"[True, True]",Esta é uma alta temporada .,"[False, False, False, True, True, False]",Estas são altas temporadas .,"[False, False, True, True, False]",Esta é uma alta temporada . ,"[True, True, True, True, True, True]",Esta é uma alta .,"[False, False, False, True, False]",Esta é uma temporada .,"[False, False, False, True, False]",Estas são temporadas .,"[False, False, True, False]",Esta é uma temporada normal .,"[False, False, False, True, True, False]",Esta é uma coisa alta .,"[False, False, False, True, True, False]",Esta é uma época de férias .,"[False, False, False, True, True, True, False]",Estas são épocas de férias .,"[False, False, True, True, True, False]",Esta é uma época alta .,"[False, False, False, True, True, False]",Esta é uma temporada elevada .,"[False, False, False, True, True, False]",Estas são temporadas elevadas .,"[False, False, True, True, False]",Esta é uma elevada época .,"[False, False, False, True, True, False]",Estas são elevadas épocas .,"[False, False, True, True, False]",época de férias,"[True, True, True]",Esta é uma surpresa total .,"[False, False, False, True, True, False]",Esta é uma noite quente .,"[False, False, False, True, True, False]",Esta é uma maré baixa .,"[False, False, False, True, True, False]",Esta é uma excelente economia .,"[False, False, False, True, True, False]",Esta é uma primeira infância .,"[False, False, False, True, True, False]",Esta é uma arte atual .,"[False, False, False, True, True, False]",Esta é uma longa-metragem .,"[False, False, False, True, False]",Esta é uma qualidade possível .,"[False, False, False, True, True, False]",Esta é uma carne vermelha .,"[False, False, False, True, True, False]",Esta é uma corda bamba .,"[False, False, False, True, True, False]",temporada,[True],alta,[True],elevada época,"[True, True]"
alta-costura,alta-costura,[True],Esta é uma alta-costura .,"[False, False, False, True, False]",Estas são altas-costuras .,"[False, False, True, False]",Esta é uma alta-costura . ,"[True, True, True, True, True]",Esta é uma alta .,"[False, False, False, True, False]",Esta é uma costura .,"[False, False, False, True, False]",Estas são costuras .,"[False, False, True, False]",Esta é uma costura normal .,"[False, False, False, True, True, False]",Esta é uma coisa alta .,"[False, False, False, True, True, False]",Esta é uma alta qualidade .,"[False, False, False, True, True, False]",Estas são altas qualidades .,"[False, False, True, True, False]",Esta é uma alta sutura .,"[False, False, False, True, True, False]",Esta é uma costura elevada .,"[False, False, False, True, True, False]",Estas são costuras elevadas .,"[False, False, True, True, False]",Esta é uma elevada sutura .,"[False, False, False, True, True, False]",Estas são elevadas suturas .,"[False, False, True, True, False]",alta qualidade,"[True, True]",Esta é uma realidade política .,"[False, False, False, True, True, False]",Esta é uma iniciativa comunitária .,"[False, False, False, True, True, False]",Esta é uma carne vermelha .,"[False, False, False, True, True, False]",Esta é uma aristocracia francesa .,"[False, False, False, True, True, False]",Esta é uma planta baixa .,"[False, False, False, True, True, False]",Esta é uma vida fácil .,"[False, False, False, True, True, False]",Esta é uma ficha limpa .,"[False, False, False, True, True, False]",Esta é uma solução justa .,"[False, False, False, True, True, False]",Esta é uma água mineral .,"[False, False, False, True, True, False]",Esta é uma maré alta .,"[False, False, False, True, True, False]",costura,[True],alta,[True],elevada sutura,"[True, True]"
alto mar,alto mar,"[True, True]",Este é um alto mar .,"[False, False, False, True, True, False]",Estes são altos mares .,"[False, False, True, True, False]",Este é um alto mar . ,"[True, True, True, True, True, True]",Este é um alto .,"[False, False, False, True, False]",Este é um mar .,"[False, False, False, True, False]",Estes são mares .,"[False, False, True, False]",Este é um mar normal .,"[False, False, False, True, True, False]",Este é um coiso alto .,"[False, False, False, True, True, False]",Este é um mar aberto .,"[False, False, False, True, True, False]",Estes são mares abertos .,"[False, False, True, True, False]",Este é um oceano alto .,"[False, False, False, True, True, False]",Este é um mar elevado .,"[False, False, False, True, True, False]",Estes são mares elevados .,"[False, False, True, True, False]",Este é um elevado oceano .,"[False, False, False, True, True, False]",Estes são elevados oceanos .,"[False, False, True, True, False]",mar aberto,"[True, True]",Este é um jogador masculino .,"[False, False, False, True, True, False]",Este é um enorme tamanho .,"[False, False, False, True, True, False]",Este é um algodão-doce .,"[False, False, False, True, False]",Este é um quadro responsável .,"[False, False, False, True, True, False]",Este é um pente fino .,"[False, False, False, True, True, False]",Este é um programa intenso .,"[False, False, False, True, True, False]",Este é um pronto-socorro .,"[False, False, False, True, False]",Este é um prejuízo pessoal .,"[False, False, False, True, True, False]",Este é um centro espírita .,"[False, False, False, True, True, False]",Este é um ano-novo .,"[False, False, False, True, False]",mar,[True],alto,[True],elevado oceano,"[True, True]"
